English Term	Thai Translation	Notes
Scarf joint	รอยต่อ Scarf (Scarf joint) / รอยต่อ Scarf	Use รอยต่อ Scarf (Scarf joint) on titles, รอยต่อ Scarf in descriptions
Fuzzy Skin	ผิวฟัซซี (Fuzzy Skin) / ผิวฟัซซี	Use ผิวฟัซซี (Fuzzy Skin) on titles, ผิวฟัซซี in descriptions
Draft Shield	แนวป้องกันลม (Draft Shield) / แนวป้องกันลม	Use แนวป้องกันลม (Draft Shield) on titles, แนวป้องกันลม in descriptions
Prime Tower	Prime Tower	Keep in English technical term
Wipe Tower	Wipe Tower	Keep in English technical term
Prime/Wipe Tower	Prime/Wipe Tower	Keep in English technical term
Extrusion role	ประเภทการพิมพ์ (Extrusion role) / ประเภทการพิมพ์	Use ประเภทการพิมพ์ (Extrusion role) on titles, ประเภทการพิมพ์ in descriptions
Wipe	เช็ดหัวฉีด (Wipe) / เช็ดหัวฉีด	Use เช็ดหัวฉีด (Wipe) on titles, เช็ดหัวฉีด in descriptions
Brim	ขอบยึดชิ้นงาน (Brim) / ขอบยึดชิ้นงาน	Use ขอบยึดชิ้นงาน (Brim) on titles, ขอบยึดชิ้นงาน in descriptions
Brim Ears	หูขอบยึดชิ้นงาน (Brim Ears)	Use หูขอบยึดชิ้นงาน (Brim Ears)
Voronoi	Voronoi	Keep in English technical term
Build Volume	ปริมาตรการพิมพ์ (Build Volume) / ปริมาตรการพิมพ์	Use ปริมาตรการพิมพ์ (Build Volume) on titles, ปริมาตรการพิมพ์ in descriptions
